Job Id,Experience,Qualifications,Salary Range,location,Country,latitude,longitude,Work Type,Company Size,Job Posting Date,Preference,Contact Person,Contact,Job Title,Role,Job Portal,Job Description,Benefits,skills,Responsibilities,Company,Company Profile
706430057022737,1 to 11 Years,BA,$57K-$126K,Charlotte Amalie,Virgin Islands (U.S.),18.3358,-64.8963,Full-Time,109030,2021-11-17,Both,Jerry Fletcher,+1-332-281-1387,HR Generalist,HR Coordinator,Snagajob,"HR Coordinators assist in HR functions such as recruitment, onboarding, and employee record maintenance. They often handle administrative tasks, organize training programs, and provide support to the HR department in various ways.","{'Legal Assistance, Bonuses and Incentive Programs, Wellness Programs, Employee Discounts, Retirement Plans'}",Human resources Recruitment Employee onboarding HRIS (HR Information Systems) Record keeping Communication skills,"Assist with recruitment activities, including posting job openings, coordinating interviews, and managing applicant data. Ensure a positive candidate experience. Maintain recruitment records and metrics.",Tata Communications,"{""Sector"":""Telecommunications"",""Industry"":""Telecommunications"",""City"":""Mumbai"",""State"":""Maharashtra"",""Zip"":""400 072"",""Website"":""www.tatacommunications.com"",""Ticker"":""TATACOMM"",""CEO"":""Amur Swaminathan Lakshminarayanan""}"
2393222411935908,5 to 11 Years,MCA,$55K-$124K,"Washington, D.C.",USA,37.0902,-95.7129,Intern,79017,2023-03-19,Both,Tammy Martin,(465)681-6392x930,HR Coordinator,Benefits Coordinator,Internships.com,"Benefits Coordinators administer employee benefit programs, including health insurance, retirement plans, and other perks. They assist employees with benefit inquiries and ensure compliance with benefit policies.","{'Transportation Benefits, Professional Development, Bonuses and Incentive Programs, Profit-Sharing, Employee Discounts'}",Employee benefits administration Benefits compliance HRIS Benefits communication,"Administer employee benefits programs, respond to benefits inquiries, and process benefit changes. Collaborate with benefits providers and brokers. Educate employees on available benefits.",KeyCorp,"{""Sector"":""Financial Services"",""Industry"":""Commercial Banks"",""City"":""Cleveland"",""State"":""Ohio"",""Zip"":""44114"",""Website"":""www.key.com"",""Ticker"":""KEY"",""CEO"":""Christopher M. Gorman""}"
2402523179167443,0 to 10 Years,MCA,$65K-$91K,"Washington, D.C.",USA,37.0902,-95.7129,Intern,65144,2022-11-02,Female,Renee Jackson,(536)509-9344,Landscape Architect,Environmental Designer,USAJOBS,"Design outdoor spaces, parks, and landscapes with an emphasis on environmental sustainability.","{'Childcare Assistance, Paid Time Off (PTO), Relocation Assistance, Flexible Work Arrangements, Professional Development'}",Environmental design principles Sustainability concepts CAD and design software,"Focus on environmentally sustainable landscape design. Design landscapes to conserve resources, reduce pollution, and support biodiversity. Select native plants and sustainable materials.",Exelon,"{""Sector"":""Energy"",""Industry"":""Utilities: Gas and Electric"",""City"":""Chicago"",""State"":""Illinois"",""Zip"":""60603"",""Website"":""www.exeloncorp.com"",""Ticker"":""EXC"",""CEO"":""Calvin G. Butler""}"
2429224065703046,4 to 10 Years,B.Com,$56K-$87K,"Washington, D.C.",USA,37.0902,-95.7129,Part-Time,49989,2022-06-21,Female,Alejandro Martinez,681-570-3746x99103,UX/UI Designer,User Experience Designer,Jobs2Careers,"User Experience Designers create intuitive and user-friendly digital interfaces. They conduct user research, design prototypes, and work to enhance the overall user experience of websites and applications.","{'Health Insurance, Retirement Plans, Paid Time Off (PTO), Flexible Work Arrangements, Employee Assistance Programs (EAP)'}","User-centered design principles UX/UI design tools (e.g., Sketch, Adobe XD) Wireframing and prototyping Usability testing and user research Information architecture and user flows",Design and improve user experiences (UX) by creating intuitive and user-friendly interfaces for websites and applications. Conduct user research and usability testing. Collaborate with stakeholders to gather and incorporate feedback.,Zoetis,"{""Sector"":""Healthcare"",""Industry"":""Pharmaceuticals"",""City"":""Parsippany"",""State"":""New Jersey"",""Zip"":""7054"",""Website"":""www.zoetis.com"",""Ticker"":""ZTS"",""CEO"":""Kristin C. Peck""}"
895360732760260,1 to 14 Years,M.Tech,$57K-$91K,Charlotte Amalie,Virgin Islands (U.S.),18.3358,-64.8963,Part-Time,28256,2023-08-03,Male,Kristin Benson,001-893-997-6539x7959,Social Media Manager,Social Media Analyst,The Muse,"Social Media Analysts analyze social media data and metrics to provide insights and recommendations for improving social media strategies. They track performance, identify trends, and support data-driven decision-making.","{'Employee Referral Programs, Financial Counseling, Health and Wellness Facilities, Casual Dress Code, Flexible Spending Accounts (FSAs)'}","Social media analytics tools (e.g., Google Analytics, Facebook Insights) Data analysis and reporting Social media ROI measurement Competitive analysis Trend identification",Analyze social media data and user behavior to generate actionable insights. Track key performance indicators (KPIs) and recommend optimization strategies. Stay updated on social media trends and algorithm changes.,Diamondback Energy,"{""Sector"":""Energy"",""Industry"":""Mining, Crude-Oil Production"",""City"":""Midland"",""State"":""Texas"",""Zip"":""79701"",""Website"":""www.diamondbackenergy.com"",""Ticker"":""FANG"",""CEO"":""Travis D. Stice""}"
2065523319801161,4 to 14 Years,B.Tech,$58K-$100K,Charlotte Amalie,Virgin Islands (U.S.),18.3358,-64.8963,Full-Time,134233,2023-06-30,Both,Robert Tapia,815.755.4330x92124,Business Development Manager,Market Expansion Manager,The Muse,"A Market Expansion Manager strategizes and executes plans to expand the companys presence in new markets, identifying growth opportunities and optimizing market penetration.","{'Life and Disability Insurance, Stock Options or Equity Grants, Employee Recognition Programs, Health Insurance, Social and Recreational Activities'}",Market expansion strategies Market research Sales planning and execution,Develop and execute plans to expand market presence and reach new customers. Conduct market research and competitor analysis. Evaluate market trends and opportunities.,Kingfisher plc,"{""Sector"":""Retail"",""Industry"":""Retail - Home Improvement"",""City"":""London"",""State"":""N/A"",""Zip"":""N/A"",""Website"":""www.kingfisher.com"",""Ticker"":""KGF.L"",""CEO"":""Thierry Garnier""}"
1167270963119935,0 to 8 Years,M.Com,$55K-$110K,"Washington, D.C.",USA,37.0902,-95.7129,Contract,131825,2023-05-23,Female,Michele Young,(343)231-8872,UI Developer,Front-End Developer,Stack Overflow Jobs,A Front-End Developer specializes in creating the user interface and user experience of websites or applications. They code and design elements that users interact with directly.,"{'Employee Referral Programs, Financial Counseling, Health and Wellness Facilities, Casual Dress Code, Flexible Spending Accounts (FSAs)'}","Front-end web development HTML, CSS, JavaScript Responsive design Web performance optimization Cross-browser compatibility","Develop and maintain user interfaces for websites and web applications. Write clean and efficient HTML, CSS, and JavaScript code. Collaborate with UX designers to ensure a seamless user experience.",Southwest Airlines,"{""Sector"":""Airlines"",""Industry"":""Airlines"",""City"":""Dallas"",""State"":""Texas"",""Zip"":""75235"",""Website"":""www.southwest.com"",""Ticker"":""LUV"",""CEO"":""Robert E. Jordan""}"
1269600252034514,5 to 13 Years,B.Com,$56K-$99K,"Washington, D.C.",USA,37.0902,-95.7129,Full-Time,127065,2022-04-10,Female,Steven Bryan,(509)953-0886x6955,Event Planner,Wedding Planner,SimplyHired,"Wedding Planners specialize in organizing weddings, assisting couples with every aspect of wedding planning, from venue selection to catering and decor.","{'Employee Assistance Programs (EAP), Tuition Reimbursement, Profit-Sharing, Transportation Benefits, Parental Leave'}",Wedding planning Venue selection Catering and menu planning Floral and decor design Wedding etiquette,"Specialize in wedding planning, assisting couples in creating their dream weddings. Select and manage vendors, plan ceremonies, and handle wedding day coordination. Provide creative and budget-conscious solutions.",Diageo,"{""Sector"":""Beverages"",""Industry"":""Beverages"",""City"":""London"",""State"":""N/A"",""Zip"":""N/A"",""Website"":""www.diageo.com"",""Ticker"":""DEO"",""CEO"":""Ivan Menezes""}"
2464356180557060,5 to 15 Years,BCA,$58K-$86K,Charlotte Amalie,Virgin Islands (U.S.),18.3358,-64.8963,Contract,134327,2022-08-01,Male,Barbara Gibson,(926)860-6856x76312,Social Worker,School Social Worker,FlexJobs,"Support students social and emotional well-being in schools, collaborate with educators, and connect families with resources.","{'Flexible Spending Accounts (FSAs), Relocation Assistance, Legal Assistance, Employee Recognition Programs, Financial Counseling'}",School social work principles Student assessment and intervention Special education laws Individualized education plans (IEPs) Crisis management Collaboration with educators Family engagement Advocacy Empathy and communication Documentation Cultural competence Licensing and certification,Collaborate with schools to support students academic and social needs. Conduct assessments and provide counseling and resources. Advocate for students and families.,Block,"{""Sector"":""Technology"",""Industry"":""Financial Data Services"",""City"":""San Francisco"",""State"":""California"",""Zip"":""94103"",""Website"":""www.block.xyz"",""Ticker"":""SQ"",""CEO"":""Jack Dorsey""}"
1465819255234904,2 to 9 Years,M.Com,$61K-$87K,Charlotte Amalie,Virgin Islands (U.S.),18.3358,-64.8963,Intern,128561,2022-08-26,Both,Andrea Miller,954-264-8145,Mechanical Engineer,HVAC Engineer,FlexJobs,"HVAC Engineers specialize in heating, ventilation, and air conditioning systems, designing efficient HVAC solutions for buildings and facilities.","{'Legal Assistance, Bonuses and Incentive Programs, Wellness Programs, Employee Discounts, Retirement Plans'}",Knowledge of HVAC systems and equipment Mechanical engineering skills Problem-solving abilities AutoCAD proficiency HVAC design and installation expertise,"Specialize in heating, ventilation, and air conditioning (HVAC) systems design. Calculate HVAC load requirements and design energy-efficient systems. Ensure compliance with HVAC standards.",CRRC Corporation,"{""Sector"":""Transportation and Rail"",""Industry"":""Manufacturing & Transportation"",""City"":""Beijing"",""State"":""N/A"",""Zip"":""N/A"",""Website"":""http://www.crrcgc.cc/"",""Ticker"":""1766.HK"",""CEO"":""Luo Renjian""}"
665688551170300,1 to 11 Years,PhD,$62K-$90K,"Washington, D.C.",USA,37.0902,-95.7129,Part-Time,21532,2023-06-17,Male,Curtis Baldwin,+1-457-838-2368x8859,Interior Designer,Residential Interior Designer,The Muse,"A Residential Interior Designer plans and designs interior spaces in homes. They select furnishings, colors, and layouts to create functional and aesthetically pleasing environments.","{'Legal Assistance, Bonuses and Incentive Programs, Wellness Programs, Employee Discounts, Retirement Plans'}",Residential interior design Space planning Color theory and selection Furniture and materials selection 3D modeling and rendering,"Plan and design interiors for residential spaces, considering aesthetics and functionality. Select furniture, materials, and color schemes. Create design concepts and layout plans.",PBF Energy,"{""Sector"":""Energy"",""Industry"":""Petroleum Refining"",""City"":""Parsippany"",""State"":""New Jersey"",""Zip"":""7054"",""Website"":""www.pbfenergy.com"",""Ticker"":""PBF"",""CEO"":""Thomas J. Nimbley""}"
1705438618009444,2 to 13 Years,B.Tech,$55K-$126K,"Washington, D.C.",USA,37.0902,-95.7129,Intern,40540,2022-11-12,Male,Jason Lucas,+1-244-616-0323x9871,Art Teacher,Fine Arts Instructor,The Muse,"A Fine Arts Instructor teaches various forms of fine arts, such as painting, sculpture, or drawing, to students, guiding them in developing their artistic skills and creativity.","{'Tuition Reimbursement, Stock Options or Equity Grants, Parental Leave, Wellness Programs, Childcare Assistance'}",Artistic skills Teaching ability Communication skills Art history knowledge Creativity,"Teach fine arts, including drawing, painting, and sculpture, to students of all ages. Develop and execute art lesson plans. Foster creativity and artistic expression.",China Merchants Bank,"{""Sector"":""Banking"",""Industry"":""Banking & Financial Services"",""City"":""Shenzhen"",""State"":""N/A"",""Zip"":""N/A"",""Website"":""http://www.cmbchina.com/"",""Ticker"":""3968.HK"",""CEO"":""Chen Yulu""}"
2089030556984044,2 to 12 Years,PhD,$56K-$108K,Charlotte Amalie,Virgin Islands (U.S.),18.3358,-64.8963,Intern,108213,2022-01-14,Male,Thomas Marshall,822.593.7353x6486,Marketing Specialist,Marketing Analytics Specialist,Idealist,"Marketing Analytics Specialists analyze marketing data to derive insights and inform marketing strategies. They use tools like Google Analytics and data analysis software to track campaign performance, customer behavior, and market trends.","{'Health Insurance, Retirement Plans, Flexible Work Arrangements, Employee Assistance Programs (EAP), Bonuses and Incentive Programs'}",Marketing analytics Data analysis Data visualization Market research Google Analytics Marketing automation Reporting tools,Analyze marketing data and generate insights to drive decision-making. Use tools like Google Analytics and marketing automation platforms. Report on key performance metrics and ROI.,SSE plc,"{""Sector"":""Utilities"",""Industry"":""Utilities"",""City"":""Perth, UK"",""State"":""N/A"",""Zip"":""N/A"",""Website"":""www.sse.com"",""Ticker"":""SSE"",""CEO"":""Alistair Phillips-Davies""}"
321268789876581,3 to 12 Years,B.Com,$61K-$111K,Charlotte Amalie,Virgin Islands (U.S.),18.3358,-64.8963,Full-Time,124871,2023-04-06,Female,Christopher Williams,499-415-2170x9693,Web Designer,E-commerce Web Designer,Indeed,"E-commerce Web Designers specialize in designing and optimizing online stores and shopping websites. They focus on user experience, product presentation, and conversion rate optimization to drive online sales and customer engagement.","{'Tuition Reimbursement, Stock Options or Equity Grants, Parental Leave, Wellness Programs, Childcare Assistance'}","E-commerce web design UX/UI design Shopping cart integration Payment gateway integration Mobile responsiveness E-commerce platforms (e.g., Shopify)","Focus on designing user interfaces for e-commerce websites, including product listings, shopping carts, and checkout processes. Enhance the online shopping experience and conversion rates.",American Electric Power,"{""Sector"":""Utilities"",""Industry"":""Utilities: Gas and Electric"",""City"":""Columbus"",""State"":""Ohio"",""Zip"":""43215"",""Website"":""www.aep.com"",""Ticker"":""AEP"",""CEO"":""Julie Sloat""}"
1632474913460047,3 to 14 Years,MBA,$63K-$101K,"Washington, D.C.",USA,37.0902,-95.7129,Full-Time,39614,2022-05-30,Both,Susan Brock,777.994.4631x5089,Systems Administrator,Database Administrator,Stack Overflow Jobs,"Database Administrators manage databases, ensuring data integrity, security, and efficient performance. They design, implement, and maintain databases while troubleshooting issues.","{'Health Insurance, Retirement Plans, Flexible Work Arrangements, Employee Assistance Programs (EAP), Bonuses and Incentive Programs'}","Database management systems (e.g., MySQL, Oracle, SQL Server) Data security Database tuning and optimization Backup and recovery","Administer and optimize databases, ensuring data availability and performance. Backup and restore databases. Implement database security and access controls.",Live Nation Entertainment,"{""Sector"":""Entertainment"",""Industry"":""Entertainment"",""City"":""Beverly Hills"",""State"":""California"",""Zip"":""90210"",""Website"":""www.livenationentertainment.com"",""Ticker"":""LYV"",""CEO"":""Michael Rapino""}"
1675992679811836,5 to 8 Years,B.Com,$58K-$112K,"Washington, D.C.",USA,37.0902,-95.7129,Contract,47942,2022-07-21,Female,Kristen Brown,(528)784-3148x41267,Psychologist,Research Psychologist,USAJOBS,"Research Psychologists conduct psychological research to advance the fields understanding. They design studies, collect data, and analyze results to inform scientific knowledge.","{'Tuition Reimbursement, Stock Options or Equity Grants, Parental Leave, Wellness Programs, Childcare Assistance'}",Research methodology Data analysis Psychological studies Writing research reports Critical thinking,"Conduct psychological research, design experiments, and analyze data. Publish research findings in academic journals. Contribute to the advancement of psychological knowledge.",Booking Holdings,"{""Sector"":""Travel and Booking"",""Industry"":""Internet Services and Retailing"",""City"":""Norwalk"",""State"":""Connecticut"",""Zip"":""6854"",""Website"":""www.bookingholdings.com"",""Ticker"":""BKNG"",""CEO"":""Glenn D. Fogel""}"
1468492446729552,4 to 12 Years,BBA,$55K-$116K,"Washington, D.C.",USA,37.0902,-95.7129,Temporary,48548,2022-03-27,Both,David Murphy,218.950.9617,Account Executive,Sales Account Executive,Idealist,"A Sales Account Executive is responsible for acquiring and managing business accounts. They identify sales opportunities, negotiate contracts, and meet revenue targets.","{'Health Insurance, Retirement Plans, Paid Time Off (PTO), Flexible Work Arrangements, Employee Assistance Programs (EAP)'}",Sales strategies and tactics Account management Relationship building Sales forecasting Industry and product knowledge,Identify and pursue sales opportunities with new and existing clients. Build and maintain client relationships. Meet or exceed sales targets and quotas.,Segro,"{""Sector"":""Real Estate"",""Industry"":""Real Estate/REIT"",""City"":""London"",""State"":""N/A"",""Zip"":""N/A"",""Website"":""www.segro.com"",""Ticker"":""SGRO.L"",""CEO"":""David Sleath""}"
931831084768523,1 to 8 Years,MBA,$61K-$93K,"Washington, D.C.",USA,37.0902,-95.7129,Full-Time,14317,2022-09-18,Both,Faith Jones,242-237-5823,Environmental Consultant,Environmental Impact Analyst,Stack Overflow Jobs,"Environmental Impact Analysts assess the environmental consequences of projects or activities. They conduct studies, analyze data, and provide recommendations to minimize adverse environmental effects and promote sustainable practices.","{'Flexible Spending Accounts (FSAs), Relocation Assistance, Legal Assistance, Employee Recognition Programs, Financial Counseling'}",Environmental impact analysis Data collection and analysis Environmental regulations Reporting GIS (Geographic Information Systems) Technical writing,Assess the environmental impact of projects and developments. Conduct environmental impact assessments (EIAs) and provide mitigation recommendations. Collaborate with project teams and regulators.,Computacenter,"{""Sector"":""IT Services"",""Industry"":""Information Technology"",""City"":""Hatfield"",""State"":""England"",""Zip"":""AL10 9TW"",""Website"":""https://www.computacenter.com/"",""Ticker"":""CCC"",""CEO"":""Mike Norris""}"
685175063801582,4 to 12 Years,PhD,$60K-$119K,Charlotte Amalie,Virgin Islands (U.S.),18.3358,-64.8963,Full-Time,17401,2023-01-26,Both,Jackson Baker,953-475-6172x80718,Event Coordinator,Wedding Coordinator,LinkedIn,"Plan and execute weddings, coordinate vendors, manage budgets, and oversee all aspects of the event to create a memorable day.","{'Employee Assistance Programs (EAP), Tuition Reimbursement, Profit-Sharing, Transportation Benefits, Parental Leave'}",Wedding planning Vendor coordination Ceremony and reception logistics Wedding etiquette Budget management Timeline planning Attention to detail Client communication Creativity Problem-solving Emotional intelligence Event design,"Assist couples in planning and executing their weddings, from venue selection to coordination on the big day. Manage timelines and resolve any issues that arise during weddings. Provide emotional support to couples.",Magellan Financial Group,"{""Sector"":""Financial Services/Investment Management"",""Industry"":""Financial Services/Investment Management"",""City"":""Sydney"",""State"":""NSW"",""Zip"":""2000"",""Website"":""https://www.magellangroup.com.au/"",""Ticker"":""MFG"",""CEO"":""Brett Cairns""}"
1125406216107126,2 to 9 Years,M.Com,$58K-$114K,"Washington, D.C.",USA,37.0902,-95.7129,Contract,120875,2021-10-28,Both,Matthew Bryant,324-802-4240x6213,Graphic Designer,Print Graphic Designer,SimplyHired,"Print Graphic Designers design graphics and layouts for printed materials such as brochures, posters, and packaging. They use their creativity and design skills to visually communicate messages and information effectively in printed form.","{'Flexible Spending Accounts (FSAs), Relocation Assistance, Legal Assistance, Employee Recognition Programs, Financial Counseling'}","Print design software (e.g., Adobe InDesign, Illustrator) Layout and composition Print production processes Color theory and management Attention to detail Print industry knowledge","Design printed materials such as brochures, posters, and packaging. Choose appropriate printing methods and materials. Collaborate with print vendors and ensure quality output.",Texas Instruments,"{""Sector"":""Technology"",""Industry"":""Semiconductors and Other Electronic Components"",""City"":""Dallas"",""State"":""Texas"",""Zip"":""75243"",""Website"":""www.ti.com"",""Ticker"":""TXN"",""CEO"":""Haviv Ilan""}"
